class,direction,rank,gene_id,gene_symbol,coefficient
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,1,ENSG00000163564,PYHIN1,-0.40416762
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,2,ENSG00000271503,CCL5,-0.38185325
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,3,ENSG00000169508,GPR183,-0.15557726
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,4,ENSG00000166949,SMAD3,-0.06623645
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,5,ENSG00000124942,AHNAK,-0.051921427
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,6,ENSG00000150347,ARID5B,-0.036421616
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,7,ENSG00000010610,CD4,-0.016525054
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,8,ENSG00000067082,KLF6,-0.0130522465
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,9,ENSG00000172534,HCFC1,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,10,ENSG00000184216,IRAK1,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,11,ENSG00000169057,MECP2,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,12,ENSG00000196924,FLNA,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,13,ENSG00000102119,EMD,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,14,ENSG00000102125,TAZ,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,15,ENSG00000071553,ATP6AP1,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,16,ENSG00000203879,GDI1,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,17,ENSG00000160211,G6PD,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,18,ENSG00000269335,IKBKG,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,19,ENSG00000160219,GAB3,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,20,ENSG00000183878,UTY,0.0
